at,ema,complete,sched
0,0,0,0
1,2,0,1
2,4,0,2
2,3,0,2
3,4,0,3
4,6,0,4
4,5,0,4
5,6,0,5
6,8,0,6
5,5,1,6
5,5,2,7
6,7,2,8
5,5,3,8
5,5,4,9
6,7,4,10
6,6,4,10
5,5,6,11
6,7,6,12
5,5,7,12
6,7,7,13
5,5,9,14
5,5,9,14
5,5,10,15
6,7,10,16
5,5,11,16
5,5,12,17
5,5,13,18
5,5,13,18
5,5,14,19
6,7,14,20
5,5,15,20
5,5,16,21
6,7,16,22
5,5,17,22
5,5,18,23
6,7,18,24
5,5,19,24
5,5,20,25
7,9,20,27
9,12,21,34
12,16,21,40
16,22,22,46
22,31,22,48
28,39,22,50
29,35,22,51
30,34,22,52
30,32,23,53
30,31,23,53
30,31,24,54
31,32,24,55
31,32,24,55
32,33,24,56
33,35,24,57
33,34,24,57
34,35,24,58
35,37,24,59
35,36,24,59
35,35,25,60
36,37,25,61
37,39,25,62
37,38,25,62
38,39,25,63
37,37,27,64
36,37,28,64
34,35,31,65
33,34,33,66
31,33,35,66
32,32,35,67
29,31,39,68
28,29,41,69
28,29,41,69
26,27,44,70
25,26,46,71
19,23,52,71
18,20,54,72
19,20,54,73
18,19,55,73
17,18,57,74
18,18,57,75
17,17,58,75
19,21,59,78
23,28,60,83
25,29,61,86
27,31,63,90
30,35,63,93
33,39,64,97
34,38,65,100
35,38,65,100
34,34,66,100
33,33,67,100
33,33,67,100
31,32,69,100
31,32,69,100
31,31,69,100
30,31,70,100
30,30,70,100
29,30,71,100
26,28,74,100
26,27,74,100
26,26,74,100
26,26,74,100
26,26,74,100
25,26,75,100
25,25,75,100
24,25,76,100
21,23,79,100
18,20,82,100
15,18,85,100
12,15,88,100
6,10,94,100
1,6,99,100
