Active Threads,EMA,Completed Tasks,Scheduled Tasks
0,0.0,0,0
1,2.0,0,1
1,2.0,0,1
1,2.0,0,1
2,4.0,0,2
2,3.0,0,2
2,3.0,0,2
3,5.0,0,3
3,4.0,0,3
3,4.0,0,3
4,6.0,0,4
4,5.0,0,4
4,5.0,0,4
5,7.0,0,5
5,6.0,0,5
5,6.0,0,5
5,6.0,1,6
5,6.0,1,6
4,5.0,2,6
5,6.0,2,7
5,6.0,2,7
5,6.0,2,7
6,8.0,2,8
5,6.0,3,8
5,6.0,3,8
6,7.0,3,9
5,6.0,4,9
5,6.0,4,9
6,7.0,4,10
5,6.0,5,10
5,6.0,5,10
5,6.0,6,11
5,6.0,6,11
5,6.0,6,11
6,7.0,6,12
5,6.0,7,12
5,6.0,7,12
6,7.0,7,13
5,6.0,8,13
5,6.0,8,13
5,6.0,9,14
5,6.0,9,14
5,6.0,9,14
6,7.0,9,15
6,7.0,9,15
5,6.0,10,15
6,7.0,10,16
5,6.0,11,16
5,6.0,11,16
6,7.0,11,17
5,6.0,12,17
5,6.0,12,17
6,7.0,12,18
5,6.0,13,18
5,6.0,13,18
6,7.0,13,19
5,6.0,14,19
5,6.0,14,19
6,7.0,14,20
5,6.0,15,20
5,6.0,15,20
5,6.0,16,21
5,6.0,16,21
5,6.0,16,21
5,6.0,17,22
5,6.0,17,22
5,6.0,17,22
5,6.0,18,23
5,6.0,18,23
5,6.0,18,23
5,6.0,19,24
5,6.0,19,24
5,6.0,19,24
5,6.0,20,25
5,6.0,20,25
5,6.0,20,25
5,6.0,20,25
4,5.0,21,25
5,6.0,21,26
4,5.0,22,26
4,5.0,22,26
5,6.0,22,27
4,5.0,23,27
4,5.0,23,27
5,6.0,23,28
4,5.0,24,28
4,5.0,24,28
5,6.0,24,29
4,5.0,25,29
4,5.0,25,29
5,6.0,25,30
5,6.0,25,30
5,6.0,25,30
6,8.0,25,31
5,6.0,26,31
5,6.0,26,31
6,7.0,26,32
5,6.0,27,32
5,6.0,27,32
6,7.0,27,33
5,6.0,28,33
5,6.0,28,33
6,7.0,28,34
5,6.0,29,34
5,6.0,29,34
6,7.0,29,35
5,6.0,30,35
5,6.0,30,35
6,7.0,30,36
6,7.0,30,36
5,6.0,31,36
6,7.0,31,37
5,6.0,32,37
5,6.0,32,37
6,7.0,32,38
5,6.0,33,38
5,6.0,33,38
6,7.0,33,39
6,7.0,33,39
5,6.0,34,39
6,7.0,34,40
5,6.0,35,40
5,6.0,35,40
6,7.0,35,41
5,6.0,36,41
5,6.0,36,41
6,7.0,36,42
5,6.0,37,42
5,6.0,37,42
6,7.0,37,43
5,6.0,38,43
5,6.0,38,43
6,7.0,38,44
5,6.0,39,44
5,6.0,39,44
6,7.0,39,45
5,6.0,40,45
5,6.0,40,45
6,7.0,40,46
5,6.0,41,46
5,6.0,41,46
6,7.0,41,47
5,6.0,42,47
5,6.0,42,47
6,7.0,42,48
5,6.0,43,48
5,6.0,43,48
6,7.0,43,49
6,7.0,43,49
5,6.0,44,49
6,7.0,44,50
5,6.0,45,50
5,6.0,45,50
6,7.0,45,53
7,9.0,46,55
9,12.0,46,59
12,17.0,46,60
15,21.0,46,61
17,22.0,47,64
19,24.0,47,66
21,26.0,47,68
23,28.0,47,70
26,32.0,47,73
