Active Threads,EMA,Completed Tasks,Scheduled Tasks
0,0.0,0,0
1,2.0,0,1
2,4.0,0,2
3,5.0,0,3
4,6.0,0,4
5,7.0,0,5
6,8.0,0,6
7,9.0,0,7
8,10.0,0,8
9,11.0,0,9
10,12.0,0,10
11,13.0,0,11
13,16.0,0,13
14,17.0,0,14
16,20.0,0,16
17,20.0,0,17
19,23.0,0,19
21,25.0,0,21
21,23.0,0,21
22,24.0,0,22
22,23.0,0,22
23,25.0,0,23
23,24.0,0,23
22,23.0,2,24
22,23.0,2,24
23,24.0,2,25
24,26.0,2,26
24,25.0,2,26
25,27.0,2,27
25,26.0,2,27
26,28.0,2,28
25,26.0,3,28
26,27.0,3,29
26,27.0,4,30
26,27.0,4,30
27,29.0,4,31
28,30.0,4,32
28,29.0,5,33
29,31.0,5,34
30,32.0,5,35
31,33.0,5,36
32,34.0,5,37
31,32.0,6,37
31,32.0,7,38
32,33.0,7,39
31,32.0,9,40
32,33.0,9,41
32,33.0,9,41
32,33.0,10,42
32,33.0,11,43
32,33.0,11,43
31,32.0,13,44
32,33.0,13,45
32,33.0,13,45
33,35.0,13,46
33,34.0,14,47
33,34.0,14,47
33,34.0,15,48
33,34.0,15,48
34,36.0,15,49
35,37.0,15,50
34,35.0,16,50
33,34.0,17,50
33,34.0,17,50
31,33.0,19,50
29,31.0,21,50
28,30.0,22,50
26,28.0,24,50
26,27.0,24,50
26,27.0,24,50
26,27.0,24,50
25,26.0,25,50
24,25.0,26,50
24,25.0,26,50
23,24.0,27,50
22,23.0,28,50
22,23.0,28,50
22,23.0,28,50
20,22.0,30,50
19,21.0,31,50
19,20.0,31,50
17,19.0,33,50
16,18.0,34,50
16,17.0,34,50
16,17.0,34,50
15,16.0,35,50
13,15.0,37,50
13,14.0,37,50
10,12.0,40,50
10,11.0,40,50
8,10.0,42,50
6,8.0,44,50
4,6.0,46,50
2,4.0,48,50
