Active Threads,EMA,Completed Tasks,Scheduled Tasks
0,0,0,0
1,2,0,1
2,3,0,4
3,4,0,5
4,5,0,6
5,6,0,7
6,7,0,8
7,8,0,9
8,9,0,11
9,10,0,12
10,11,0,13
11,12,0,14
12,13,0,15
13,14,0,16
14,15,0,18
15,16,0,19
16,17,0,20
17,18,0,21
18,19,0,22
19,20,0,23
20,21,0,25
21,22,0,26
22,23,1,27
23,24,2,27
24,25,2,26
25,26,2,27
25,25,2,27
25,25,2,27
25,25,2,28
25,25,2,28
25,25,3,29
25,25,3,29
25,25,3,29
25,25,3,30
25,25,4,30
25,25,5,31
25,25,6,31
25,25,6,31
25,25,6,32
25,25,6,32
25,25,6,32
24,24,9,33
24,24,9,33
25,26,9,34
24,24,10,34
24,24,10,34
25,26,10,35
25,25,10,35
25,25,10,36
25,25,10,36
24,24,12,36
25,26,12,37
24,24,13,37
25,26,13,38
25,25,13,38
22,23,16,38
21,21,18,39
21,21,18,39
21,21,18,39
21,21,19,40
21,21,19,40
22,23,19,41
19,20,22,41
18,18,23,41
19,20,23,42
18,18,24,42
18,18,24,42
19,20,24,43
18,18,25,43
17,17,27,43
17,17,27,44
17,17,27,44
16,16,28,44
17,18,28,45
16,16,29,45
15,15,30,45
16,17,30,46
15,15,31,46
12,13,34,46
13,13,34,47
11,11,36,47
11,11,36,47
12,13,36,48
11,11,37,48
11,11,37,48
12,13,37,49
12,12,37,49
11,11,38,49
11,11,39,50
10,10,40,50
10,10,40,50
11,12,40,51
11,11,40,51
10,10,41,51
10,10,42,52
10,10,42,52
9,9,43,52
9,9,43,52
9,9,44,53
9,9,44,53
8,8,45,53
8,8,45,53
8,8,46,54
7,7,47,54
7,7,47,54
7,7,48,55
7,7,48,55
6,6,49,55
5,5,50,55
6,7,50,56
5,5,51,56
5,5,51,56
4,4,52,56
5,6,52,57
5,5,52,57
4,4,53,57
5,6,53,58
5,5,53,58
4,4,54,58
4,4,54,58
5,6,54,59
4,4,55,59
4,4,55,59
4,4,55,59
4,4,56,60
4,4,56,60
4,4,56,60
5,6,56,61
4,4,57,61
4,4,57,61
4,4,57,61
5,6,57,62
4,4,58,62
4,4,58,62
5,6,58,63
4,4,59,63
4,4,59,63
4,4,59,63
5,6,59,64
4,4,60,64
4,4,60,64
4,4,60,64
5,6,60,65
4,4,61,65
4,4,61,65
5,6,61,66
4,4,62,66
4,4,62,66
4,4,62,66
5,6,62,67
4,4,63,67
4,4,63,67
4,4,63,67
4,4,64,68
4,4,64,68
4,4,64,68
5,6,64,69
4,4,65,69
4,4,65,69
4,4,65,69
5,6,65,70
4,4,66,70
4,4,66,70
4,4,66,70
5,6,66,71
4,4,67,71
4,4,67,71
5,6,67,72
4,4,68,72
4,4,68,72
4,4,68,72
5,6,68,73
4,4,69,73
4,4,69,73
4,4,69,73
4,4,70,74
4,4,70,74
4,4,70,74
5,6,70,75
4,4,71,75
4,4,71,75
4,4,71,75
5,6,71,76
5,5,72,77
6,7,72,78
7,8,72,79
8,9,72,80
8,8,73,81
10,12,73,83
11,13,73,84
12,13,73,85
13,14,73,86
14,15,73,87
14,14,74,88
15,16,74,89
16,17,74,90
17,18,74,91
18,19,74,92
19,20,74,93
20,21,74,94
21,22,74,95
22,23,75,97
23,24,75,98
24,25,75,99
25,26,75,100
26,27,75,101
26,26,75,101
26,26,75,102
26,26,75,102
26,26,75,102
26,26,75,103
26,26,75,103
26,26,75,104
26,26,75,104
26,26,75,105
26,26,76,105
26,26,78,106
26,26,80,106
26,26,80,106
26,26,80,107
26,26,80,107
26,26,81,108
26,26,81,108
26,26,81,109
26,26,81,109
26,26,81,110
26,26,82,111
26,26,85,111
26,26,86,112
24,25,88,112
24,24,88,112
25,26,88,113
25,25,88,113
26,27,88,114
25,25,89,114
25,25,90,115
24,24,91,115
22,23,93,115
23,23,93,116
23,23,93,116
23,23,94,117
22,22,95,117
22,22,96,118
21,21,97,118
21,21,98,119
21,21,98,119
22,23,98,120
22,22,98,120
22,22,99,121
22,22,99,121
23,24,99,122
23,23,99,122
22,22,100,122
22,22,101,123
22,22,101,123
23,24,101,124
21,21,103,124
20,20,105,125
20,20,105,125
21,22,105,126
22,23,105,127
23,24,105,128
21,21,107,128
22,23,107,129
22,22,108,130
23,24,108,131
24,25,108,132
24,24,109,133
25,26,109,134
23,23,112,135
23,23,113,136
23,23,113,136
24,25,113,137
24,24,114,138
23,23,116,139
23,23,116,139
24,25,116,140
25,26,116,141
25,25,117,142
26,27,117,143
26,26,118,144
27,28,118,145
27,27,119,146
27,27,119,146
27,27,120,147
28,29,120,148
29,30,120,149
30,31,120,150
31,32,120,151
31,31,120,151
31,31,121,152
31,31,121,153
31,31,122,153
31,31,122,154
31,31,122,154
31,31,123,155
31,31,125,156
30,30,126,156
31,32,126,157
30,30,127,157
30,30,128,158
30,30,128,158
30,30,129,159
31,32,129,160
31,31,129,160
31,31,129,161
31,31,130,161
31,31,131,162
30,30,132,162
29,29,134,163
28,28,136,164
28,28,136,164
29,30,136,165
29,29,136,165
29,29,137,166
28,28,138,166
28,28,139,167
28,28,139,167
29,30,139,168
27,27,141,168
28,29,141,169
28,28,141,169
29,30,141,170
29,29,141,170
30,31,141,171
30,30,141,171
30,30,142,172
30,30,142,172
29,29,144,173
29,29,144,173
30,31,144,174
30,30,144,174
29,29,146,175
28,28,147,175
29,30,147,176
28,28,148,176
27,27,149,176
28,29,149,177
26,26,151,177
25,25,152,177
24,24,153,177
25,26,153,178
24,24,154,178
24,24,154,178
21,22,158,179
20,20,159,179
19,19,160,179
19,19,160,179
20,21,160,180
17,18,163,180
17,17,163,180
18,19,163,181
18,18,163,181
17,17,164,181
17,17,164,181
17,17,165,182
16,16,166,182
15,15,167,182
14,14,168,182
15,16,168,183
15,15,168,183
15,15,168,183
13,13,170,183
13,13,171,184
12,12,172,184
10,11,174,184
10,10,174,184
10,10,175,185
10,10,175,185
10,10,175,185
10,10,175,185
10,10,176,186
9,9,177,186
9,9,177,186
8,8,178,186
9,10,178,187
7,7,180,187
6,6,181,187
6,6,181,187
6,6,182,188
6,6,182,188
6,6,182,188
5,5,183,188
5,5,184,189
5,5,184,189
4,4,185,189
4,4,185,189
4,4,186,190
4,4,186,190
4,4,186,190
4,4,186,190
4,4,187,191
4,4,187,191
4,4,187,191
4,4,187,191
4,4,188,192
4,4,188,192
4,4,188,192
4,4,188,192
4,4,189,193
4,4,189,193
4,4,189,193
4,4,189,193
4,4,190,194
4,4,190,194
4,4,190,194
4,4,190,194
4,4,191,195
4,4,191,195
4,4,191,195
3,3,192,195
4,5,192,196
4,4,192,196
4,4,192,196
3,3,193,196
4,5,193,197
4,4,193,197
4,4,193,197
3,3,194,197
4,5,194,198
4,4,194,198
4,4,194,198
3,3,195,198
4,5,195,199
4,4,195,199
4,4,195,199
3,3,196,199
4,5,196,200
4,4,196,200
4,4,196,200
3,3,197,200
3,3,197,200
3,3,197,200
3,3,197,200
2,2,198,200
2,2,198,200
2,2,198,200
2,2,198,200
1,1,199,200
1,1,199,200
1,1,199,200
1,1,199,200
